Title,Description,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,ResourceName,RDataPath,Tags
BLCA_CNASeq-20160128,BLCA_CNASeq-20160128 data specific to the BLCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,RaggedExperiment,Rda,BLCA_CNASeq-20160128.rda,curatedTCGAData/BLCA_CNASeq-20160128.rda,CNASeq
BLCA_CNASNP-20160128,BLCA_CNASNP-20160128 data specific to the BLCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,RaggedExperiment,Rda,BLCA_CNASNP-20160128.rda,curatedTCGAData/BLCA_CNASNP-20160128.rda,CNASNP
BLCA_CNVSNP-20160128,BLCA_CNVSNP-20160128 data specific to the BLCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,RaggedExperiment,Rda,BLCA_CNVSNP-20160128.rda,curatedTCGAData/BLCA_CNVSNP-20160128.rda,CNVSNP
BLCA_colData-20160128,BLCA_colData-20160128 data specific to the BLCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,DataFrame,Rda,BLCA_colData-20160128.rda,curatedTCGAData/BLCA_colData-20160128.rda,colData
BLCA_GISTIC_AllByGene-20160128,BLCA_GISTIC_AllByGene-20160128 data specific to the BLCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,BLCA_GISTIC_AllByGene-20160128.rda,curatedTCGAData/BLCA_GISTIC_AllByGene-20160128.rda,GISTIC
BLCA_GISTIC_Peaks-20160128,BLCA_GISTIC_Peaks-20160128 data specific to the BLCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,RangedSummarizedExperiment,Rda,BLCA_GISTIC_Peaks-20160128.rda,curatedTCGAData/BLCA_GISTIC_Peaks-20160128.rda,GISTIC
BLCA_GISTIC_ThresholdedByGene-20160128,BLCA_GISTIC_ThresholdedByGene-20160128 data specific to the BLCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,BLCA_GISTIC_ThresholdedByGene-20160128.rda,curatedTCGAData/BLCA_GISTIC_ThresholdedByGene-20160128.rda,GISTIC
BLCA_metadata-20160128,BLCA_metadata-20160128 data specific to the BLCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,list,Rda,BLCA_metadata-20160128.rda,curatedTCGAData/BLCA_metadata-20160128.rda,metadata
BLCA_Methylation-20160128_assays,BLCA_Methylation-20160128_assays data specific to the BLCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,H5File,BLCA_Methylation-20160128_assays.h5,curatedTCGAData/BLCA_Methylation-20160128_assays.h5,Methylation
BLCA_Methylation-20160128_se,BLCA_Methylation-20160128_se data specific to the BLCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,RaggedExperiment,Rds,BLCA_Methylation-20160128_se.rds,curatedTCGAData/BLCA_Methylation-20160128_se.rds,Methylation
BLCA_miRNASeqGene-20160128,BLCA_miRNASeqGene-20160128 data specific to the BLCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,BLCA_miRNASeqGene-20160128.rda,curatedTCGAData/BLCA_miRNASeqGene-20160128.rda,miRNASeqGene
BLCA_Mutation-20160128,BLCA_Mutation-20160128 data specific to the BLCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,BLCA_Mutation-20160128.rda,curatedTCGAData/BLCA_Mutation-20160128.rda,Mutation
BLCA_RNASeq2GeneNorm-20160128,BLCA_RNASeq2GeneNorm-20160128 data specific to the BLCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,BLCA_RNASeq2GeneNorm-20160128.rda,curatedTCGAData/BLCA_RNASeq2GeneNorm-20160128.rda,RNASeq2GeneNorm
BLCA_RNASeqGene-20160128,BLCA_RNASeqGene-20160128 data specific to the BLCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,DataFrame,Rda,BLCA_RNASeqGene-20160128.rda,curatedTCGAData/BLCA_RNASeqGene-20160128.rda,RNASeqGene
BLCA_RPPAArray-20160128,BLCA_RPPAArray-20160128 data specific to the BLCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,BLCA_RPPAArray-20160128.rda,curatedTCGAData/BLCA_RPPAArray-20160128.rda,RPPAArray
BLCA_sampleMap-20160128,BLCA_sampleMap-20160128 data specific to the BLCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,BLCA_sampleMap-20160128.rda,curatedTCGAData/BLCA_sampleMap-20160128.rda,sampleMap
BRCA_CNASeq-20160128,BRCA_CNASeq-20160128 data specific to the BRCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,RaggedExperiment,Rda,BRCA_CNASeq-20160128.rda,curatedTCGAData/BRCA_CNASeq-20160128.rda,CNASeq
BRCA_CNASNP-20160128,BRCA_CNASNP-20160128 data specific to the BRCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,RaggedExperiment,Rda,BRCA_CNASNP-20160128.rda,curatedTCGAData/BRCA_CNASNP-20160128.rda,CNASNP
BRCA_CNVSNP-20160128,BRCA_CNVSNP-20160128 data specific to the BRCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,RaggedExperiment,Rda,BRCA_CNVSNP-20160128.rda,curatedTCGAData/BRCA_CNVSNP-20160128.rda,CNVSNP
BRCA_colData-20160128,BRCA_colData-20160128 data specific to the BRCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,DataFrame,Rda,BRCA_colData-20160128.rda,curatedTCGAData/BRCA_colData-20160128.rda,colData
BRCA_GISTIC_AllByGene-20160128,BRCA_GISTIC_AllByGene-20160128 data specific to the BRCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,BRCA_GISTIC_AllByGene-20160128.rda,curatedTCGAData/BRCA_GISTIC_AllByGene-20160128.rda,GISTIC
BRCA_GISTIC_Peaks-20160128,BRCA_GISTIC_Peaks-20160128 data specific to the BRCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,RangedSummarizedExperiment,Rda,BRCA_GISTIC_Peaks-20160128.rda,curatedTCGAData/BRCA_GISTIC_Peaks-20160128.rda,GISTIC
BRCA_GISTIC_ThresholdedByGene-20160128,BRCA_GISTIC_ThresholdedByGene-20160128 data specific to the BRCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,BRCA_GISTIC_ThresholdedByGene-20160128.rda,curatedTCGAData/BRCA_GISTIC_ThresholdedByGene-20160128.rda,GISTIC
BRCA_metadata-20160128,BRCA_metadata-20160128 data specific to the BRCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,list,Rda,BRCA_metadata-20160128.rda,curatedTCGAData/BRCA_metadata-20160128.rda,metadata
BRCA_Methylation_methyl27-20160128_assays,BRCA_Methylation_methyl27-20160128_assays data specific to the BRCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,H5File,BRCA_Methylation_methyl27-20160128_assays.h5,curatedTCGAData/BRCA_Methylation_methyl27-20160128_assays.h5,Methylation
BRCA_Methylation_methyl27-20160128_se,BRCA_Methylation_methyl27-20160128_se data specific to the BRCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rds,BRCA_Methylation_methyl27-20160128_se.rds,curatedTCGAData/BRCA_Methylation_methyl27-20160128_se.rds,Methylation
BRCA_Methylation_methyl450-20160128_assays,BRCA_Methylation_methyl450-20160128_assays data specific to the BRCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,RaggedExperiment,H5File,BRCA_Methylation_methyl450-20160128_assays.h5,curatedTCGAData/BRCA_Methylation_methyl450-20160128_assays.h5,Methylation
BRCA_Methylation_methyl450-20160128_se,BRCA_Methylation_methyl450-20160128_se data specific to the BRCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rds,BRCA_Methylation_methyl450-20160128_se.rds,curatedTCGAData/BRCA_Methylation_methyl450-20160128_se.rds,Methylation
BRCA_miRNASeqGene-20160128,BRCA_miRNASeqGene-20160128 data specific to the BRCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,BRCA_miRNASeqGene-20160128.rda,curatedTCGAData/BRCA_miRNASeqGene-20160128.rda,miRNASeqGene
BRCA_mRNAArray-20160128,BRCA_mRNAArray-20160128 data specific to the BRCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,BRCA_mRNAArray-20160128.rda,curatedTCGAData/BRCA_mRNAArray-20160128.rda,mRNAArray
BRCA_Mutation-20160128,BRCA_Mutation-20160128 data specific to the BRCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,DataFrame,Rda,BRCA_Mutation-20160128.rda,curatedTCGAData/BRCA_Mutation-20160128.rda,Mutation
BRCA_RNASeq2GeneNorm-20160128,BRCA_RNASeq2GeneNorm-20160128 data specific to the BRCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,BRCA_RNASeq2GeneNorm-20160128.rda,curatedTCGAData/BRCA_RNASeq2GeneNorm-20160128.rda,RNASeq2GeneNorm
BRCA_RNASeqGene-20160128,BRCA_RNASeqGene-20160128 data specific to the BRCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,BRCA_RNASeqGene-20160128.rda,curatedTCGAData/BRCA_RNASeqGene-20160128.rda,RNASeqGene
BRCA_RPPAArray-20160128,BRCA_RPPAArray-20160128 data specific to the BRCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,BRCA_RPPAArray-20160128.rda,curatedTCGAData/BRCA_RPPAArray-20160128.rda,RPPAArray
BRCA_sampleMap-20160128,BRCA_sampleMap-20160128 data specific to the BRCA cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,BRCA_sampleMap-20160128.rda,curatedTCGAData/BRCA_sampleMap-20160128.rda,sampleMap
CESC_CNASeq-20160128,CESC_CNASeq-20160128 data specific to the CESC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,RaggedExperiment,Rda,CESC_CNASeq-20160128.rda,curatedTCGAData/CESC_CNASeq-20160128.rda,CNASeq
CESC_CNASNP-20160128,CESC_CNASNP-20160128 data specific to the CESC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,RaggedExperiment,Rda,CESC_CNASNP-20160128.rda,curatedTCGAData/CESC_CNASNP-20160128.rda,CNASNP
CESC_CNVSNP-20160128,CESC_CNVSNP-20160128 data specific to the CESC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,RaggedExperiment,Rda,CESC_CNVSNP-20160128.rda,curatedTCGAData/CESC_CNVSNP-20160128.rda,CNVSNP
CESC_colData-20160128,CESC_colData-20160128 data specific to the CESC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,DataFrame,Rda,CESC_colData-20160128.rda,curatedTCGAData/CESC_colData-20160128.rda,colData
CESC_GISTIC_AllByGene-20160128,CESC_GISTIC_AllByGene-20160128 data specific to the CESC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,CESC_GISTIC_AllByGene-20160128.rda,curatedTCGAData/CESC_GISTIC_AllByGene-20160128.rda,GISTIC
CESC_GISTIC_Peaks-20160128,CESC_GISTIC_Peaks-20160128 data specific to the CESC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,RangedSummarizedExperiment,Rda,CESC_GISTIC_Peaks-20160128.rda,curatedTCGAData/CESC_GISTIC_Peaks-20160128.rda,GISTIC
CESC_GISTIC_ThresholdedByGene-20160128,CESC_GISTIC_ThresholdedByGene-20160128 data specific to the CESC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,CESC_GISTIC_ThresholdedByGene-20160128.rda,curatedTCGAData/CESC_GISTIC_ThresholdedByGene-20160128.rda,GISTIC
CESC_metadata-20160128,CESC_metadata-20160128 data specific to the CESC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,list,Rda,CESC_metadata-20160128.rda,curatedTCGAData/CESC_metadata-20160128.rda,metadata
CESC_Methylation-20160128_assays,CESC_Methylation-20160128_assays data specific to the CESC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,H5File,CESC_Methylation-20160128_assays.h5,curatedTCGAData/CESC_Methylation-20160128_assays.h5,Methylation
CESC_Methylation-20160128_se,CESC_Methylation-20160128_se data specific to the CESC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,RaggedExperiment,Rds,CESC_Methylation-20160128_se.rds,curatedTCGAData/CESC_Methylation-20160128_se.rds,Methylation
CESC_miRNASeqGene-20160128,CESC_miRNASeqGene-20160128 data specific to the CESC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,CESC_miRNASeqGene-20160128.rda,curatedTCGAData/CESC_miRNASeqGene-20160128.rda,miRNASeqGene
CESC_Mutation-20160128,CESC_Mutation-20160128 data specific to the CESC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,SummarizedExperiment,Rda,CESC_Mutation-20160128.rda,curatedTCGAData/CESC_Mutation-20160128.rda,Mutation
CESC_RNASeq2GeneNorm-20160128,CESC_RNASeq2GeneNorm-20160128 data specific to the CESC cohort of the TCGA project,3.9,NA,TXT,http://gdac.broadinstitute.org/,1.1.38,Homo sapiens,9606,NA,Eli and Edythe L. Broad Institute of Harvard and MIT,Marcel Ramos <marcel.ramos@roswellpark.org>,DataFrame,Rda,CESC_RNASeq2GeneNorm-20160128.rda,curatedTCGAData/CESC_RNASeq2GeneNorm-20160128.rda,RNASeq2GeneNorm
